target,lead,scenario,set,model,n,mae,mae_lo,mae_hi,rmse,mae_persistence,skill_vs_persistence,skill_lo,skill_hi,dm_stat,dm_p
toc,7,lab_blind,BCD,ridge,623,0.4543181240648526,0.3157022669136374,0.6228304119390397,0.7382106136175948,0.2326645264847512,-0.9526746553460035,-1.4217407972306413,-0.602501110478296,4.706962469699261,3.1017026533551466e-06
toc,7,lab_blind,BCD,rf,623,0.5130324232051011,0.3589329871094941,0.7126297700926525,0.8748807395368025,0.2326645264847512,-1.2050306978735978,-1.757294563120872,-0.7847174258603301,4.6771247001326,3.5709458993545783e-06
toc,7,lab_blind,BCD,hgb,623,0.4758157898184062,0.33819799656235805,0.6509567033853566,0.8075552436551172,0.2326645264847512,-1.0450723494782137,-1.5823635262725262,-0.6340755931030514,4.514339488405847,7.597978548136834e-06
alk,1,lab_known,ABCD,ridge,633,1.832272113637396,1.637135994745215,2.061126749431136,2.452354514160799,1.5696682464454976,-0.1672989612846938,-0.3094260040469147,-0.05221982005337007,2.705726031200953,0.006999391905181061
alk,1,lab_known,ABCD,rf,633,1.5423402125204277,1.4070129875608277,1.6858056349947148,2.114763540744576,1.5696682464454976,0.017410069922070504,-0.010478858257518897,0.04039186858475493,-1.3132053875154255,0.18959032515772192
alk,1,lab_known,ABCD,hgb,633,1.6006833979722348,1.4652803839476862,1.7494271880177228,2.1790378516597952,1.5696682464454976,-0.01975904882892987,-0.0661349956593644,0.022217015974498995,0.8692890707244049,0.38501904656457114
alk,1,lab_blind,BCD,ridge,633,5.257876536864904,4.40981758855256,6.399206605277909,6.927428846857504,1.5696682464454976,-2.349673759898837,-3.1576550958624825,-1.7397704031363046,7.300217585652424,8.667388660790934e-13
alk,1,lab_blind,BCD,rf,633,6.305786003214187,5.3472478866461515,7.402668813647179,7.93186869434805,1.5696682464454976,-3.017273087796478,-3.8718998779303435,-2.323553443734412,9.025524750219118,2.134203024513754e-18
alk,1,lab_blind,BCD,hgb,633,5.4463770583734545,4.814095949803912,6.297519866880732,6.682364727736346,1.5696682464454976,-2.4697631621884026,-3.0819473196982936,-1.9892419903274157,10.391068783116719,1.8602625509270568e-23
alk,2,lab_known,ABCD,ridge,631,2.2735773661339733,2.017557832363486,2.5797108688373562,3.0426864263419025,2.0431854199683044,-0.11276115418308086,-0.24191739686535801,-0.002822982719399625,1.895145101214778,0.05853070633067386
alk,2,lab_known,ABCD,rf,631,2.082274476066581,1.8634679734460522,2.3475734280446745,2.855190428930336,2.0431854199683044,-0.019131428658532013,-0.07377028904570897,0.02746861518291098,0.7380469121619426,0.4607607646896119
